Comment,Gopinath-num,Gopinath1896-img,Gopinath1914-img,Kosambi
,156,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-225.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-219.jpg,140
,157,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-226.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-220.jpg,87
,158,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-227.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-221.jpg,137
,159,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-228.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-222.jpg,212
,160,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-229.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-223.jpg,142
,161,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-230.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-224.jpg,143
,162,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-231.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-225.jpg,144
,163,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-232.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-226.jpg,244
,164,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-233.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-227.jpg,145
,165,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-234.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-228.jpg,83
,166,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-235.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-229.jpg,287
,167,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-236.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-230.jpg,85
,168,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-237.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-231.jpg,81
,169,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-238.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-232.jpg,77
,170,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-239.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-233.jpg,147
,171,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-240.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-234.jpg,120
,172,gopinath/1896-XikpAAAAYAAJ/pdf/images-300/p-241.jpg,gopinath/1914-VeBjAAAAMAAJ/pdf/images-300/p-235.jpg,296
